IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Annex_I,Canada,CAN,Canada,2.E,Electronics Industry,c-C4F8,fossil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000054,0.000026082,0.000046764,0.000067446,0.000088128,4.35024E-05,4.84826E-05,5.98781E-05,3.9463E-05,4.77793E-05,7.41993E-05,4.36649E-05,4.36649E-05,4.22935E-05,3.16582E-05,2.56548E-05
Annex_I,Canada,CAN,Canada,2.C,Metal Industry,C2F6,fossil,0.08365237,0.09356441,0.09221545,0.1079768,0.10544249,0.09011092,0.09472511,0.09295366,0.09257416,0.08379357,0.07839622,0.06012987,0.0727997,0.05732837,0.07630211,0.06946761,0.1517239,0.20602255,0.13819136,0.12127151,0.1242175,0.11082399,0.10129563,0.08902088,0.12056074,0.07375761,0.09574782,0.09584265,0.08763766,0.084078415,0.072219537,0.068878374,0.065691787,0.059562911,0.054905179
Annex_I,Canada,CAN,Canada,2.E,Electronics Industry,C2F6,fossil,0,0,0,0,0,0.00146394,0.0007551,0.000884732,0.000890487,0.001095495,0.001209917,0.001209917,0.00050219,0,0,4.23959E-06,1.17623E-06,6.44987E-06,0,0.0000198,0.000144662,0.000269525,0.000394387,0.00051925,0.000610682,0.000695787,0.000792298,0.000942781,0.000818705,0.000474394,0.000621456,0.000621456,0.000555707,0.000582811,0.000563488
Annex_I,Canada,CAN,Canada,2.G,Other Product Manufacture and Use,C2F6,fossil,0.00004,0.000042,0.000044,0.000046,0.000048,0.00005,0.000052,0.000054,0.000056,0.000058,0.00006,0.000062,0.000064,0.000066,0.000068,0.00007,0.000072,0.000074,0.000076,0.000076,0.000076,0.000076,0.000076,0.000076,0.000076,0.000076,0.000076,0.000076,0.000076,0.000076,0.000076,0.000076,0.000076,0.000076,0.000076
Annex_I,Canada,CAN,Canada,2.G,Other Product Manufacture and Use,C3F8,fossil,0.00005,0.0000525,0.000055,0.0000575,0.00006,0.0000625,0.000065,0.0000675,0.00007,0.0000725,0.000075,0.0000775,0.00008,0.0000825,0.000085,0.0000875,0.00009,0.0000925,0.000095,0.000095,0.000095,0.000095,0.000095,0.000095,0.000095,0.000095,0.000095,0.000095,0.000095,0.000095,0.000095,0.000095,0.000095,0.000095,0.000095
Annex_I,Canada,CAN,Canada,2.G,Other Product Manufacture and Use,C4F10,fossil,0.0001155,0.0001175,0.0001195,0.0001215,0.0001235,0.0001255,0.0001275,0.0001295,0.0001315,0.0001335,0.0001355,0.0001375,0.0001395,0.0001415,0.0001435,0.0001455,0.0001475,0.0001495,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,C6F14,fossil,0,0,0,0,0,0.000955,0.00104435,0.000166675,0.000127625,0.0001303,0.0001797,0.0001994,0.0001994,0.0000997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Annex_I,Canada,CAN,Canada,2.C,Metal Industry,CF4,fossil,0.713589,0.798414,0.787602,0.922217,0.900575,0.679894,0.7147078,0.701576,0.664906,0.5918063,0.5580263,0.4480322,0.4963248,0.4196189,0.4263313,0.329598,0.5162885,0.9427816,0.7466511,0.5939329,0.4640385,0.4334039,0.3906683,0.3456678,0.364683,0.3526315,0.4217846,0.4222021,0.3860582,0.370379145,0.31813885,0.303420534,0.289383143,0.262384476,0.241866446
Annex_I,Canada,CAN,Canada,2.E,Electronics Industry,CF4,fossil,0.000007965,7.60725E-06,7.2495E-06,6.89175E-06,0.000006534,0.000747403,0.000532467,0.000619235,0.000582789,0.001037767,0.002084414,0.002084056,0.001730287,0.000465571,0.000748922,0.000589234,0.000433103,0.000512782,0.000645512,0.000212236,0.000220594,0.000229309,0.000238025,0.00024674,0.000195956,0.000236501,0.000231482,0.00032451,0.000301448,0.000483186,0.000416524,0.000416524,0.000454883,0.000445449,0.000459911
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,CF4,fossil,0,0,0,0,0,0.0000005,0.00000075,1.1385E-06,8.885E-07,0,0,0,0,0,0,0,0,0,0,0.0000035,0.0000063,0.0000049,0.0000035,0.0000021,0.0000007,0,0,0,0,0,0,,,,
Annex_I,Canada,CAN,Canada,2.G,Other Product Manufacture and Use,HCFC-141b,fossil,0.000863718,0.0144063,0.132727,0.448181,0.864635,1.27675,1.47811,1.53318,1.76595,1.94166,2.06524,2.22663,2.36828,2.20082,2.12312,2.10354,0.206653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Annex_I,Canada,CAN,Canada,2.G,Other Product Manufacture and Use,HCFC-142b,fossil,0.306287,0.432362,0.542298,0.60524,0.688096,0.754273,0.772837,0.797706,0.808755,0.870284,0.91396,0.884352,0.741151,0.721683,0.75508,0.772879,0.463838,0.327836,0.191835,0.1238345,0.1238345,0.1238345,0.1238345,0.1238345,0.1238345,0.1238345,0.1238345,0.1238345,0.1238345,0.1238345,0.1238345,0.1238345,0.1238345,0.1238345,0.1238345
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-125,fossil,0,0,0,0,0,0.01827591,0.044912978,0.06705522,0.093109821,0.116423398,0.142896606,0.165710843,0.192805733,0.219286716,0.245290114,0.271614087,0.297597641,0.333974027,0.382772142,0.418052568,0.383068005,0.440108428,0.478862487,0.506496214,0.549516978,0.600397056,0.647960297,0.690162234,0.811244659,0.82287688,0.829897957,0.840977372,0.852599193,0.863736818,0.875116541
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-134,fossil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7569E-06,7.9003E-06,2.61489E-07,2.60182E-07,2.58881E-07,2.57586E-07,2.56298E-07,0.00139534,0.001789975,0.015849747,0.02031543,0.017943464,0.023327961,0.025820699,0.027655788,0.03089323,0.033429495
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-134a,fossil,0,0,0,0,0,0.239851931,0.364282827,0.477315117,0.688230509,0.931068189,1.185582687,1.321978686,1.465570709,1.554592306,1.713128398,1.820920287,1.895650393,2.152777924,2.207729577,2.524128313,2.885106326,3.109508973,3.197881435,3.340865452,3.68438069,3.546152421,3.40823057,3.354215704,3.423124912,3.339119317,3.310464039,3.152460434,3.062238942,2.969945484,2.878688008
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-143,fossil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121975,0.001118562,0.001026587,0.000942943,0.000866836,0.000797549,0.000734433,0.00066493,0.000597627,0.000530987,0.000463171,0.000395944
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-143a,fossil,0,0,0,0,0,0.011363301,0.028309835,0.041270934,0.06509627,0.087000896,0.112318082,0.136280314,0.163979016,0.19146731,0.218293346,0.244465165,0.269650074,0.294353423,0.317041284,0.337066768,0.356938898,0.383502939,0.405633561,0.420842827,0.441947998,0.455270941,0.470853351,0.476555042,0.543312276,0.516484224,0.486523159,0.446780502,0.414603243,0.380642916,0.347574124
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-152a,fossil,0,0,0,0,0,0.006892371,0.02327641,0.042335005,0.029278,0.094416681,0.249923543,0.383955137,0.517928866,0.661641555,0.825684508,0.656894693,0.347077023,0.249546809,0.222213958,0.410967596,0.823390173,0.942934386,0.712511444,0.52871222,0.772816296,1.686551733,2.292206883,1.371057933,1.377064581,1.896600861,1.404867242,1.353683389,1.346640224,1.163843064,1.068922902
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-227ea,fossil,0,0,0,0,0,0.00033424,0.000357155,0.000550152,0.002328673,0.002710525,0.003898205,0.005064281,0.006209025,0.007332719,0.007672168,0.007985417,0.008130735,0.008093844,0.007915816,0.00769411,0.00812568,0.014149763,0.018273223,0.024499704,0.031145831,0.043370407,0.047758537,0.054342725,0.059988052,0.058946715,0.054627869,0.040703075,0.034274749,0.027601802,0.021051165
Annex_I,Canada,CAN,Canada,2.B,Chemical Industry,HFC-23,fossil,0.06557704,0.071396,0.056066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-23,fossil,0,0,0,0,0,0.0000556,0.000125734,0.000905963,0.000003,0.000003,0.000465239,0.000518387,0.000542338,0.000563624,0.00001004,1.75492E-05,1.35332E-05,9.24755E-06,4.6976E-06,0.000541764,1.82507E-05,3.45917E-05,3.53296E-05,3.59686E-05,3.67848E-05,3.73958E-05,3.77465E-05,0.000101969,0.000157026,0.00022608,0.00027581,0.000191173,0.000202556,0.000194714,0.000196485
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-236fa,fossil,0,0,0,0,0,0,0.0000048,0.000009504,1.34907E-05,1.31374E-05,1.55344E-05,1.78868E-05,2.01951E-05,2.24603E-05,2.91229E-05,3.41901E-05,3.76935E-05,3.96644E-05,4.01332E-05,0.000039275,3.97562E-05,3.89099E-05,6.00826E-05,7.80754E-05,7.32988E-05,6.27819E-05,5.70274E-05,6.06485E-05,5.76261E-05,5.46641E-05,5.63214E-05,6.10104E-05,6.21385E-05,6.46299E-05,6.64397E-05
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-245fa,fossil,0,0,0,0,0,0,0,0,0,0,0,0.001352849,0.004123154,0.011338618,0.153126417,0.326410024,0.335156561,0.415746192,0.122219175,0.19123967,0.435081253,0.551805637,0.657119517,1.190350822,1.202600795,0.988062995,1.053529599,0.771390179,0.874713737,0.961611603,1.0543389,1.227137202,1.410529829,1.560169238,1.726685256
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-32,fossil,0,0,0,0,0,5.0538E-06,2.3505E-05,6.8163E-05,0.000123242,0.000462292,0.000970056,0.001563628,0.002742962,0.003761623,0.005473794,0.008243983,0.011971654,0.027182675,0.047370177,0.06200064,0.084540728,0.107822554,0.12346471,0.140797028,0.159465783,0.183147319,0.204805826,0.238818234,0.323679865,0.353938354,0.350615728,0.367830986,0.382710285,0.392376179,0.404648775
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-365mfc,fossil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000843,1.91807E-05,3.21475E-05,4.72309E-05,0.000347732,0.004646463,0.070816787,0.101198909,0.182602199,0.260483909,0.38971707,0.456218067,0.50543062,0.56684262,0.538210439,0.535526416,0.404825549,0.350819859,0.288356332,0.230121724
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-41,fossil,0,0,0,0,0,0,0,0,0,0.00001,0.00002,0.00001,0,0,0,0,0,0,0,0,0.066589914,0.059390736,0.053538902,0.04832133,0.043660222,0.039492405,0.035762254,0.032420742,0.029424624,0.026735724,0.023726881,0.020828927,0.017963694,0.015039684,0.012145063
Annex_I,Canada,CAN,Canada,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-43-10-mee,fossil,0,0,0,0,0,0,0,0,0.000889,0.002713,0.0032625,0.002951213,0.003021938,0.00304483,0.002166942,0.001293425,0.001294261,0.001295433,0.001299927,0.001772404,0.00189008,0.001487696,0.001467243,0.001501905,0.001438219,0.001426725,0.001485659,0.00144093,0.001365458,0.001345036,0.00132893,0.001331468,0.00133401,0.001336431,0.001338913
Annex_I,Canada,CAN,Canada,2.E,Electronics Industry,NF3,fossil,1.88636E-05,1.83595E-05,1.78554E-05,1.73513E-05,1.68472E-05,1.63431E-05,0.000015839,1.53349E-05,1.48308E-05,1.43267E-05,1.38226E-05,1.33186E-05,1.28145E-05,1.23104E-05,1.18063E-05,1.13022E-05,1.07981E-05,0.000010294,9.78987E-06,9.28578E-06,8.78168E-06,8.78168E-06,8.78168E-06,8.78168E-06,0.00000064,0.00000064,0.0000082,0.000013588,0.00001998,0.00001934,0.0000358,0.0000358,4.10733E-05,4.83178E-05,5.45767E-05
Annex_I,Canada,CAN,Canada,2.C,Metal Industry,SF6,fossil,0.132429218,0.152574706,0.10309547,0.095044189,0.098035275,0.090728951,0.07107105,0.072439926,0.094737041,0.097184998,0.118478758,0.10062298,0.126200391,0.106868197,0.092854208,0.054808345,0.059269516,0.021963265,0.019228669,0.008662637,0.011264022,0.008255734,0.011085358,0.009580733,0.011180612,0.010742957,0.006327748,0.006357068,0.007009766,0.013013569,0.004496523,0.006114794,0.006004296,0.003679029,0.002461147
