scenario,Region_Group,Year,Final_Growth_Rate,Final_Growth_Rate_Pct
SSP4,17_ANZ,2037,0.00390952824777524,0.390952824777524
SSP4,17_ANZ,2038,0.003753978821089188,0.3753978821089188
SSP4,17_ANZ,2039,0.003654195849027486,0.3654195849027486
SSP4,17_ANZ,2040,0.0036093197808697575,0.36093197808697575
SSP4,17_ANZ,2041,0.0035631050258533303,0.35631050258533303
SSP4,17_ANZ,2042,0.003484549795543801,0.3484549795543801
SSP4,17_ANZ,2043,0.003413698283198041,0.3413698283198041
SSP4,17_ANZ,2044,0.0033504334765472876,0.33504334765472876
SSP4,17_ANZ,2045,0.003294644466784291,0.3294644466784291
SSP4,17_ANZ,2046,0.00324176804538312,0.324176804538312
SSP4,17_ANZ,2047,0.003186523031926125,0.3186523031926125
SSP4,17_ANZ,2048,0.0031307528344528546,0.31307528344528546
SSP4,17_ANZ,2049,0.003074458127210633,0.3074458127210633
SSP4,17_ANZ,2050,0.003017639205840972,0.3017639205840972
SSP5,01_KOR,2019,0.003484807558033598,0.3484807558033598
SSP5,01_KOR,2020,0.001379643496117966,0.1379643496117966
SSP5,01_KOR,2021,-0.0012867445880863082,-0.12867445880863082
SSP5,01_KOR,2022,-0.001873109204236889,-0.1873109204236889
SSP5,01_KOR,2023,0.0007750727470121621,0.07750727470121621
SSP5,01_KOR,2024,0.0007434549002440782,0.07434549002440782
SSP5,01_KOR,2025,-0.001663680589288119,-0.1663680589288119
SSP5,01_KOR,2026,-0.0015566030614585502,-0.15566030614585502
SSP5,01_KOR,2027,-0.0016462288662937308,-0.16462288662937308
SSP5,01_KOR,2028,-0.0017423306705585118,-0.17423306705585118
SSP5,01_KOR,2029,-0.0018449769621398104,-0.18449769621398104
SSP5,01_KOR,2030,-0.001954242787462479,-0.1954242787462479
SSP5,01_KOR,2031,-0.0020744356322006663,-0.20744356322006663
SSP5,01_KOR,2032,-0.002208639777572352,-0.2208639777572352
SSP5,01_KOR,2033,-0.0023542604248545373,-0.23542604248545373
SSP5,01_KOR,2034,-0.0025114571324182933,-0.2511457132418293
SSP5,01_KOR,2035,-0.0026804071713094624,-0.26804071713094624
SSP5,01_KOR,2036,-0.0029144515441725805,-0.29144515441725805
SSP5,01_KOR,2037,-0.0031739743930553344,-0.31739743930553344
SSP5,01_KOR,2038,-0.0033856940031260496,-0.33856940031260496
SSP5,01_KOR,2039,-0.003549133913973823,-0.3549133913973823
SSP5,01_KOR,2040,-0.003663714678213803,-0.3663714678213803
SSP5,01_KOR,2041,-0.003832891895913848,-0.3832891895913848
SSP5,01_KOR,2042,-0.004053235875378647,-0.4053235875378647
SSP5,01_KOR,2043,-0.004218554618108716,-0.42185546181087163
SSP5,01_KOR,2044,-0.004328025838485017,-0.4328025838485017
SSP5,01_KOR,2045,-0.004380731367524926,-0.4380731367524926
SSP5,01_KOR,2046,-0.004438666477769915,-0.4438666477769915
SSP5,01_KOR,2047,-0.0045396828051872395,-0.45396828051872395
SSP5,01_KOR,2048,-0.004639985439128691,-0.4639985439128691
SSP5,01_KOR,2049,-0.0047395797274975004,-0.47395797274975004
SSP5,01_KOR,2050,-0.0048384699699906,-0.48384699699906
SSP5,02_CHN,2019,0.003574141941435016,0.3574141941435016
SSP5,02_CHN,2020,0.00235159383881145,0.235159383881145
SSP5,02_CHN,2021,0.0008403467972573075,0.08403467972573075
SSP5,02_CHN,2022,-0.00017749315013781963,-0.017749315013781963
SSP5,02_CHN,2023,-0.0008981902417652954,-0.08981902417652954
SSP5,02_CHN,2024,-0.0012318031405127439,-0.12318031405127439
SSP5,02_CHN,2025,7.408830608279793e-05,0.007408830608279793
SSP5,02_CHN,2026,-0.00041280742609894894,-0.041280742609894894
SSP5,02_CHN,2027,-0.0010865330563293307,-0.10865330563293307
SSP5,02_CHN,2028,-0.0015331530331534893,-0.15331530331534893
SSP5,02_CHN,2029,-0.001752428265281547,-0.1752428265281547
SSP5,02_CHN,2030,-0.0017432031208099996,-0.17432031208099996
SSP5,02_CHN,2031,-0.0018361867522445063,-0.18361867522445063
SSP5,02_CHN,2032,-0.0021352555028987252,-0.21352555028987252
SSP5,02_CHN,2033,-0.0023602616288399547,-0.23602616288399547
SSP5,02_CHN,2034,-0.002510738041565097,-0.2510738041565097
SSP5,02_CHN,2035,-0.0025860571759735995,-0.25860571759735995
SSP5,02_CHN,2036,-0.0026871039907470085,-0.26871039907470085
SSP5,02_CHN,2037,-0.0028581305844669336,-0.28581305844669336
SSP5,02_CHN,2038,-0.003019826025115413,-0.3019826025115413
SSP5,02_CHN,2039,-0.00317215553732042,-0.317215553732042
SSP5,02_CHN,2040,-0.0033150684592639923,-0.33150684592639923
SSP5,02_CHN,2041,-0.0034691456987575586,-0.34691456987575586
SSP5,02_CHN,2042,-0.003650466275427533,-0.3650466275427533
SSP5,02_CHN,2043,-0.0038466630318569894,-0.38466630318569894
SSP5,02_CHN,2044,-0.004058053261722927,-0.4058053261722927
SSP5,02_CHN,2045,-0.004284986516911449,-0.42849865169114487
SSP5,02_CHN,2046,-0.004556959109639158,-0.4556959109639158
SSP5,02_CHN,2047,-0.004854029538053806,-0.48540295380538057
SSP5,02_CHN,2048,-0.005136993292218062,-0.5136993292218062
SSP5,02_CHN,2049,-0.005405780441409158,-0.5405780441409158
SSP5,02_CHN,2050,-0.005660276977981327,-0.5660276977981327
SSP5,03_JPN,2019,-0.0014036637200243174,-0.14036637200243174
SSP5,03_JPN,2020,-0.0029376228945061644,-0.29376228945061644
SSP5,03_JPN,2021,-0.004588962545837627,-0.4588962545837627
SSP5,03_JPN,2022,-0.004428683522494814,-0.4428683522494814
SSP5,03_JPN,2023,-0.004861850577265625,-0.4861850577265625
SSP5,03_JPN,2024,-0.004347041138675012,-0.4347041138675012
SSP5,03_JPN,2025,-0.004798440909454027,-0.4798440909454027
SSP5,03_JPN,2026,-0.004218086111293262,-0.4218086111293262
SSP5,03_JPN,2027,-0.003958607109405321,-0.3958607109405321
SSP5,03_JPN,2028,-0.003824929961536383,-0.3824929961536383
SSP5,03_JPN,2029,-0.0038191669000952055,-0.38191669000952055
SSP5,03_JPN,2030,-0.003943312093301898,-0.39433120933018984
SSP5,03_JPN,2031,-0.004066292432227336,-0.40662924322273364
SSP5,03_JPN,2032,-0.00410365033402571,-0.410365033402571
SSP5,03_JPN,2033,-0.004145787171157322,-0.41457871711573224
SSP5,03_JPN,2034,-0.004192783377822806,-0.41927833778228063
SSP5,03_JPN,2035,-0.004244722260090317,-0.4244722260090317
SSP5,03_JPN,2036,-0.0043122350168102175,-0.43122350168102175
SSP5,03_JPN,2037,-0.004378172038975947,-0.4378172038975947
SSP5,03_JPN,2038,-0.004423125378972936,-0.44231253789729363
SSP5,03_JPN,2039,-0.0044467261788356804,-0.44467261788356804
SSP5,03_JPN,2040,-0.004448592698328646,-0.4448592698328646
SSP5,03_JPN,2041,-0.004465913230461527,-0.4465913230461527
SSP5,03_JPN,2042,-0.004498157281057069,-0.4498157281057069
SSP5,03_JPN,2043,-0.004507270475532121,-0.45072704755321213
SSP5,03_JPN,2044,-0.004492832216201226,-0.4492832216201226
SSP5,03_JPN,2045,-0.004454416115047488,-0.4454416115047488
SSP5,03_JPN,2046,-0.004416788295131924,-0.4416788295131924
SSP5,03_JPN,2047,-0.004395505530245258,-0.43955055302452584
SSP5,03_JPN,2048,-0.004373249502854892,-0.43732495028548923
