model,scenario,version,region,unit,variable,type,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA-WiC POP 2025,Historical Reference,1,Central African Republic,million,Population,ANNUAL,1.426515,1.533863,1.664766,1.829926,2.044957,2.261335,2.402662,2.538021,2.765804,3.237384,3.706425,4.160259,4.614457,4.780856,5.272024,6.099845,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Canada,million,Population,ANNUAL,13.593591,15.535942,17.720947,19.505728,21.181539,22.975505,24.356256,25.720924,27.467238,29.136975,30.529607,32.060726,33.783042,35.562312,37.758236,38.636151,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Switzerland,million,Population,ANNUAL,4.668088,4.970706,5.296052,5.829713,6.16908,6.355975,6.303403,6.455402,6.673168,7.016623,7.162537,7.406579,7.776311,8.23692,8.606426,8.846489,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Chile,million,Population,ANNUAL,6.563894,7.246524,8.056382,8.910507,9.738197,10.555343,11.386866,12.234872,13.234942,14.316073,15.264469,16.096459,16.920062,17.779025,19.206692,19.581699,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,China,million,Population,ANNUAL,539.190005,596.564173,654.291352,714.138999,811.78718,907.822798,975.157395,1051.925445,1143.766993,1212.878184,1259.610155,1300.84775,1343.697578,1389.794555,1423.998021,1426.368117,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,lvory Coast,million,Population,ANNUAL,2.698514,3.107384,3.641544,4.40551,5.361339,6.69817,8.147316,9.792006,11.683761,14.047083,16.575193,18.757907,20.896434,23.291821,26.477572,29.762711,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Cameroon,million,Population,ANNUAL,4.283047,4.630213,5.077842,5.621742,6.367523,7.294304,8.358321,9.653136,11.257056,13.029933,14.893826,17.041085,19.594709,22.662456,26.137122,29.624897,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Democratic Republic of the Congo,million,Population,ANNUAL,12.174049,13.491282,15.08151,17.192926,19.864962,22.748437,26.334923,30.354677,35.371989,42.740354,47.901635,55.661763,65.295329,77.325521,91.331955,107.546464,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Congo,million,Population,ANNUAL,0.826239,0.922527,1.042105,1.190453,1.375902,1.604728,1.808691,2.031788,2.352584,2.704958,3.055528,3.603364,4.363582,5.003857,5.635288,6.343255,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Cook Islands,million,Population,ANNUAL,0.01449,0.015983,0.017433,0.018662,0.020269,0.019204,0.017692,0.016794,0.017024,0.0177,0.016205,0.01513,0.016922,0.017764,,,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Colombia,million,Population,ANNUAL,11.614844,13.317298,15.444401,18.006307,20.64995,23.148948,25.87179,29.012428,32.258765,35.638295,38.901889,41.941895,44.564537,46.894748,50.617028,52.418442,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Comoros,million,Population,ANNUAL,0.159959,0.176371,0.193013,0.212751,0.239092,0.275831,0.323295,0.370551,0.425417,0.478567,0.531414,0.58676,0.649137,0.722314,0.798327,0.880919,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Cabo Verde,million,Population,ANNUAL,0.183891,0.194418,0.20799,0.240195,0.283172,0.30296,0.31516,0.337683,0.360794,0.406596,0.454286,0.48975,0.518206,0.549176,0.57993,0.608115,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Costa Rica,million,Population,ANNUAL,0.933321,1.104136,1.321713,1.576721,1.830908,2.084586,2.38138,2.733452,3.118046,3.531071,3.941033,4.284531,4.593351,4.869993,5.105361,5.256994,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Cuba,million,Population,ANNUAL,5.865903,6.492325,7.192572,7.985578,8.789486,9.467309,9.794118,10.106621,10.577836,10.907941,11.088334,11.237251,11.286643,11.336244,11.309226,11.211281,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Cura??ao,million,Population,ANNUAL,0.097951,0.113116,0.13043,0.140067,0.149551,0.154941,0.156725,0.156721,0.155624,0.151381,0.14222,0.146081,0.158203,0.168879,0.188601,0.19498,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Cayman Islands,million,Population,ANNUAL,0.006922,0.008091,0.008403,0.009264,0.010275,0.013462,0.016702,0.020871,0.025377,0.032108,0.038964,0.046005,0.053345,0.060233,,,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Cyprus,million,Population,ANNUAL,0.490395,0.529672,0.579851,0.614779,0.638906,0.644877,0.675451,0.725721,0.78312,0.853538,0.940001,1.027872,1.120289,1.182076,1.233777,1.284492,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Czechia,million,Population,ANNUAL,8.876255,9.253839,9.521877,9.686411,9.788879,9.993205,10.261797,10.301135,10.303007,10.319338,10.241482,10.269649,10.442459,10.521669,10.537908,10.851138,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Germany,million,Population,ANNUAL,71.077882,71.109548,72.817388,75.744196,78.173137,78.58648,77.843011,77.58729,79.143218,81.020535,81.561598,81.239199,81.283431,81.967591,83.267652,83.596005,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Djibouti,million,Population,ANNUAL,0.061361,0.071839,0.084364,0.105769,0.139806,0.199096,0.314486,0.390206,0.544719,0.623473,0.73094,0.824325,0.910331,0.997708,1.082341,1.154103,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Dominica,million,Population,ANNUAL,0.05011,0.051437,0.05878,0.063261,0.068577,0.071068,0.072901,0.071777,0.069757,0.069206,0.068544,0.06863,0.068792,0.070116,,,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Denmark,million,Population,ANNUAL,4.251526,4.409891,4.566332,4.736652,4.909524,5.045568,5.123465,5.120119,5.138712,5.224871,5.329994,5.425675,5.538067,5.664053,5.810771,5.903302,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Dominican Republic,million,Population,ANNUAL,2.345817,2.744871,3.243447,3.811121,4.414108,5.042352,5.69091,6.349941,7.054096,7.797508,8.47602,9.104236,9.711603,10.344326,10.939347,11.537089,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Algeria,million,Population,ANNUAL,8.892792,10.126588,11.279471,12.287743,13.642304,15.342747,18.442659,21.756416,25.209467,28.220833,30.560833,32.744434,35.519331,39.14648,43.090992,46.733889,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Ecuador,million,Population,ANNUAL,3.472185,3.967948,4.552967,5.259084,6.083738,7.007423,8.028325,9.137586,10.330392,11.454815,12.518489,13.651516,14.865993,16.075497,17.487153,18.413986,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Egypt,million,Population,ANNUAL,20.92882,23.538825,26.683923,30.420811,34.389343,38.343422,43.176,49.344817,56.495674,63.477101,70.637532,78.302415,86.338938,96.675401,106.538717,116.004863,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Eritrea,million,Population,ANNUAL,0.816704,0.886549,0.982191,1.10768,1.256297,1.431814,1.635483,1.874553,2.126591,2.059356,2.377506,2.798746,3.113085,3.326537,3.523652,3.85609,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Western Sahara,million,Population,ANNUAL,0.012371,0.019722,0.0315,0.049048,0.073809,0.075625,0.111612,0.147397,0.175569,0.203114,0.263695,0.332124,0.405464,0.484953,0.551241,0.59731,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Spain,million,Population,ANNUAL,28.015563,28.976885,30.295344,31.935554,33.638249,35.573581,37.34236,38.408304,38.874178,39.722334,40.633717,43.330788,46.48833,46.433097,47.329955,47.59626,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Estonia,million,Population,ANNUAL,1.094831,1.162126,1.21054,1.285012,1.355816,1.418377,1.472851,1.521147,1.570705,1.462735,1.401159,1.358725,1.33341,1.313255,1.329091,1.347628,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Ethiopia,million,Population,ANNUAL,17.516675,19.494999,21.476715,24.393105,27.913277,31.875277,34.895411,39.720032,47.014026,56.547446,66.05946,76.377213,87.969898,101.097184,115.638354,130.851847,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Finland,million,Population,ANNUAL,3.98663,4.211707,4.413641,4.558504,4.614529,4.702348,4.771164,4.893692,4.974492,5.098902,5.171325,5.236583,5.351365,5.471699,5.525213,5.53656,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Fiji,million,Population,ANNUAL,0.306371,0.338701,0.395521,0.462142,0.522374,0.570833,0.636637,0.719137,0.776694,0.791429,0.828078,0.87086,0.903421,0.916541,0.91809,0.941962,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Falkland Islands (Malvinas),million,Population,ANNUAL,0.00218,0.002187,0.002253,0.002309,0.002275,0.002276,0.002248,0.002237,0.00232,0.002689,0.003052,0.003197,0.003191,0.003368,,,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,France,million,Population,ANNUAL,41.651596,43.409293,45.431131,47.913747,50.300049,52.325406,53.561952,54.978703,56.294255,57.32187,58.494936,60.31235,62.272834,63.715216,64.457755,65.106109,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Faroe Islands,million,Population,ANNUAL,0.031514,0.032095,0.033923,0.036079,0.038193,0.040408,0.042778,0.045366,0.047776,0.043642,0.04536,0.048289,0.048427,0.048498,,,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Micronesia,million,Population,ANNUAL,0.031455,0.036269,0.042214,0.049979,0.058092,0.066395,0.075195,0.086751,0.097697,0.110067,0.111551,0.111217,0.107451,0.109243,0.111585,0.114689,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Gabon,million,Population,ANNUAL,0.471475,0.487496,0.510451,0.543554,0.590925,0.655919,0.739406,0.844749,0.96966,1.107738,1.256465,1.43704,1.681271,1.998607,2.267994,2.512271,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,United Kingdom,million,Population,ANNUAL,49.931042,51.087543,52.382229,54.054535,55.538871,56.258578,56.287095,56.607415,57.134402,57.862931,58.734782,60.184756,62.499133,65.008088,66.951172,67.833949,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Georgia,million,Population,ANNUAL,3.497751,3.712661,4.014712,4.385344,4.779998,4.95296,5.128251,5.319409,5.424434,4.934085,4.330978,3.974728,3.843843,3.771632,3.769183,3.621957,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Guernsey,million,Population,ANNUAL,0.04429,0.044651,0.046459,0.048923,0.052312,0.053286,0.052928,0.054335,0.057366,0.058278,0.059022,0.059789,0.060693,0.06161,,,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Ghana,million,Population,ANNUAL,5.009148,5.794349,6.799041,7.732211,8.739507,10.061996,11.695568,13.495667,15.246974,17.237582,19.412396,22.197966,25.264754,28.531849,31.849242,35.282895,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Gibraltar,million,Population,ANNUAL,0.021786,0.021481,0.021805,0.023625,0.026438,0.027882,0.02868,0.028742,0.027514,0.027362,0.027725,0.028932,0.031037,0.032485,,,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Guinea,million,Population,ANNUAL,2.959035,3.20763,3.486386,3.809758,4.184073,4.552656,4.927166,5.464281,6.215811,7.357428,8.26335,9.052298,10.14392,11.475366,13.04159,14.62162,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Guadeloupe,million,Population,ANNUAL,0.21442,0.239471,0.273209,0.301399,0.317425,0.323544,0.333799,0.354357,0.389196,0.411929,0.425318,0.406042,0.402965,0.39986,0.395093,0.397751,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Gambia,million,Population,ANNUAL,0.302972,0.344744,0.394162,0.452556,0.521084,0.603685,0.706574,0.83992,1.019656,1.223956,1.416837,1.635723,1.907347,2.221106,2.541048,2.843788,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Guinea-Bissau,million,Population,ANNUAL,0.539536,0.562204,0.576499,0.58331,0.586785,0.640182,0.824774,0.893126,0.96594,1.104971,1.217955,1.363049,1.546866,1.766089,1.993302,2.214987,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Equatorial Guinea,million,Population,ANNUAL,0.224477,0.243773,0.264976,0.291847,0.318929,0.286818,0.276577,0.368523,0.456888,0.550106,0.667958,0.845034,1.068642,1.320986,1.578373,1.790756,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Greece,million,Population,ANNUAL,7.620258,8.099342,8.475656,8.530043,8.53194,8.765546,9.25064,9.791357,10.257334,10.68881,11.018753,11.115543,11.045896,10.836416,10.543345,10.364011,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Grenada,million,Population,ANNUAL,0.077018,0.081754,0.092965,0.097952,0.098906,0.097345,0.094944,0.10024,0.099016,0.103644,0.107129,0.109879,0.113643,0.11848,0.123161,0.126268,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Greenland,million,Population,ANNUAL,0.022958,0.025913,0.031431,0.037862,0.044782,0.048903,0.049793,0.052969,0.055554,0.055689,0.056078,0.056923,0.056374,0.055877,,,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Guatemala,million,Population,ANNUAL,3.058262,3.510925,4.038513,4.675666,5.380173,6.12499,6.899224,7.824731,8.960841,10.228973,11.602327,12.994651,14.399299,15.858805,17.231175,18.589952,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,French Guiana,million,Population,ANNUAL,0.023248,0.024974,0.030468,0.038041,0.045827,0.053232,0.065492,0.084402,0.11154,0.134686,0.160896,0.197444,0.225956,0.254173,0.287814,0.321887,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Guam,million,Population,ANNUAL,0.060531,0.065429,0.071639,0.079438,0.087251,0.098428,0.108858,0.123287,0.137019,0.148978,0.159426,0.164265,0.164484,0.167791,0.168571,0.173227,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Guyana,million,Population,ANNUAL,0.412752,0.475294,0.563588,0.643374,0.700753,0.74162,0.776958,0.774567,0.750064,0.750685,0.75861,0.760246,0.749696,0.753028,0.791845,0.808134,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Hong Kong,million,Population,ANNUAL,1.933854,2.434307,3.04973,3.55929,3.92848,4.397157,4.925252,5.373051,5.795976,6.207446,6.687671,6.928414,7.114893,7.378086,7.501908,7.535771,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Honduras,million,Population,ANNUAL,1.536114,1.770517,2.048268,2.368388,2.741288,3.180906,3.719709,4.324362,4.982476,5.731951,6.566493,7.474101,8.3647,9.211268,10.041783,10.827569,,,,,,,,,,,,,,,
IIASA-WiC POP 2025,Historical Reference,1,Croatia,million,Population,ANNUAL,3.84603,4.031076,4.199198,4.355894,4.48442,4.570615,4.668805,4.789916,4.875999,4.833058,4.577423,4.436087,4.376152,4.270955,4.114644,3.980758,,,,,,,,,,,,,,,
