model,scenario,version,region,unit,variable,type,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD ENV-Growth 2025,Historical Reference,1,Bahrain,billion USD_2015/yr,GDP|PPP,ANNUAL,15.00069221,18.11764304,19.91965092,24.70341886,31.04027349,39.92060537,52.31826076,62.39451099,67.03751036,79.21337725,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bahrain,billion USD_2017/yr,GDP|PPP,ANNUAL,15.8672,19.1642,21.0703,26.1304,32.8333,42.2266,55.3404,65.9987,70.9099,83.7891,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bangladesh,billion USD_2010/yr,GDP|PPP,ANNUAL,118.4006687,142.0933174,170.6479308,211.5477513,268.0715193,343.4645447,461.1468907,626.5591233,856.788408,1175.631971,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bangladesh,billion USD_2015/yr,GDP|PPP,ANNUAL,134.2823731,161.1530413,193.5378351,239.9237636,304.0293618,389.5352502,523.0029482,710.6027934,971.7139428,1333.325669,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bangladesh,billion USD_2017/yr,GDP|PPP,ANNUAL,138.127,165.767,199.079,246.793,312.734,400.688,537.977,730.948,999.535,1371.5,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Barbados,billion USD_2010/yr,GDP|PPP,ANNUAL,3.444910905,3.383123739,3.782461661,3.59560173,4.256659295,4.511837498,4.551013806,4.53946036,4.007505832,4.902133143,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Barbados,billion USD_2015/yr,GDP|PPP,ANNUAL,3.365325493,3.304965754,3.695078046,3.512535012,4.158320618,4.407603614,4.445874858,4.434588324,3.914923176,4.788882527,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Barbados,billion USD_2017/yr,GDP|PPP,ANNUAL,3.33356,3.27377,3.6602,3.47938,4.11907,4.366,4.40391,4.39273,3.87797,4.74368,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Belarus,billion USD_2010/yr,GDP|PPP,ANNUAL,,,80.29932674,52.53335119,71.31601897,102.4171684,145.6907055,153.9203322,159.8668555,163.1723499,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Belarus,billion USD_2015/yr,GDP|PPP,ANNUAL,,,89.3376393,58.44638767,79.3431905,113.9450157,162.0893254,171.2452605,177.8611111,181.5386645,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Belarus,billion USD_2017/yr,GDP|PPP,ANNUAL,,,90.636,59.2958,80.4963,115.601,164.445,173.734,180.446,184.177,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Belgium,billion USD_2010/yr,GDP|PPP,ANNUAL,257.8362606,270.2429744,314.6106786,340.4795904,366.2787456,403.2630433,434.0497972,463.0262005,469.8075409,538.6182983,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Belgium,billion USD_2015/yr,GDP|PPP,ANNUAL,290.0454565,304.002031,353.9121988,383.0126842,412.0346989,453.6391167,488.2717865,520.8679548,528.4964278,605.9031025,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Belgium,billion USD_2017/yr,GDP|PPP,ANNUAL,310.483,325.423,378.85,410.001,441.068,485.604,522.677,557.57,565.736,648.597,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Belize,billion USD_2010/yr,GDP|PPP,ANNUAL,0.621733116,0.670817196,1.249192101,1.67131177,2.23905047,2.895149506,3.09885133,3.615870599,3.255911398,4.645810055,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Belize,billion USD_2015/yr,GDP|PPP,ANNUAL,0.576309238,0.621807231,1.157926013,1.549205581,2.07546524,2.683629621,2.872448972,3.351694766,3.018034217,4.306386753,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Belize,billion USD_2017/yr,GDP|PPP,ANNUAL,0.58092,0.626782,1.16719,1.5616,2.09207,2.7051,2.89543,3.37851,3.04218,4.34084,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Benin,billion USD_2010/yr,GDP|PPP,ANNUAL,8.152406856,8.673318401,9.555858246,11.74129325,14.87433286,18.01427845,21.75049813,27.23611481,35.21784794,47.65227375,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Benin,billion USD_2015/yr,GDP|PPP,ANNUAL,9.138642414,9.722571114,10.71187602,13.16169352,16.67375188,20.19355167,24.38175967,30.53099758,39.47831905,53.41699668,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Benin,billion USD_2017/yr,GDP|PPP,ANNUAL,9.32584,9.92173,10.9313,13.4313,17.0153,20.6072,24.8812,31.1564,40.287,54.5112,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bhutan,billion USD_2010/yr,GDP|PPP,ANNUAL,0.441624542,0.654222105,1.132069788,1.355855426,1.840926962,2.689437776,4.179897956,5.594439638,6.764718301,7.774857891,,,,,,,,,,,,,,,
