Region,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,CO2,CH4,N2O,F-gas,CO2bio,Calculated_Total_GHG,Official_AR5_Total,Difference
02_CHN,5.A,Indirect N2O emissions from the atmospheric deposition of nitrogen in NOx and NH3,0.0,0.0,26030.881335055,0.0,0.0,26030.881335055,26030.8813319,-3.155000740662217e-06
02_CHN,5.B,Fossil fuel fires,28380.0,2520.0,119.25,0.0,0.0,31019.25,31199.25,180.0
03_JPN,1.A.1.a,Main Activity Electricity and Heat Production,494369.7243,641.840540656,2587.07350545,0.0,22458.28851,497598.638346106,497598.6383692,2.309400588274002e-05
03_JPN,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,38469.47937,16.045510319999998,27.51713572,0.0,0.0,38513.04201604,38513.04202,3.959998139180243e-06
03_JPN,1.A.2,Manufacturing Industries and Construction,185293.8747,348.29036634,488.22423294,0.0,20365.33968,186130.38929927998,186130.3893067,7.420021574944258e-06
03_JPN,1.A.3.a,Civil Aviation,10553.24321,2.066396752,78.227877305,0.0,0.0,10633.537484057,10633.53748,-4.056999387103133e-06
03_JPN,1.A.3.b_noRES,Road Transportation no resuspension,179810.3501,510.190598904,1819.781841585,0.0,1264.744197,182140.32254048903,182140.322563133,2.2643973352387547e-05
03_JPN,1.A.3.c,Railways,497.748786,0.777112364,50.565179735,0.0,0.0,549.091078099,549.0910781,9.999894245993346e-10
03_JPN,1.A.3.d,Water-borne Navigation,9945.811423,25.536717024,69.053367425,0.0,0.0,10040.401507449,10040.40151,2.550999852246605e-06
03_JPN,1.A.3.e,Other Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_JPN,1.A.4,Residential and other sectors,122304.2808,968.20351796,1033.960447305,0.0,5836.048269,124306.444765265,124306.4447786,1.3334996765479445e-05
03_JPN,1.A.5,Non-Specified,2550.337004,153.13345236,19.32398338,0.0,39.56484,2722.7944397399997,2722.7944388640003,-8.75999376148684e-07
03_JPN,1.B.1,Solid Fuels,11395.10576,2025.20326456,0.2042670349999999,0.0,32.2338308,13420.513291595,13565.17067231,144.65738071499982
03_JPN,1.B.2,Oil and Natural Gas,737.7922119,1622.51961872,0.0295994399999999,0.0,37.62173016,2360.3414300599998,2476.2356889,115.89425884000002
03_JPN,2.A.1,Cement production,25632.36,0.0,0.0,0.0,0.0,25632.36,25632.36,0.0
03_JPN,2.A.2,Lime production,5490.75,0.0,0.0,0.0,0.0,5490.75,5490.75,0.0
03_JPN,2.A.3,Glass Production,443.9151157,0.0,0.0,0.0,0.0,443.9151157,443.9151157,0.0
03_JPN,2.A.4,Other Process Uses of Carbonates,1102.13468,0.0,0.0,0.0,0.0,1102.13468,1102.13468,0.0
03_JPN,2.B,Chemical Industry,14165.6179,130.891651912,889.29682143,72.7355,0.0,15258.541873342,15256.38187,-2.160003341999982
03_JPN,2.C,Metal Industry,13479.54827,180.3724804,0.0,317.66897018,0.0,13977.58972058,13977.58972,-5.799993232358247e-07
03_JPN,2.D,Non-Energy Products from Fuels and Solvent Use,3178.530531,0.0,0.0,0.0,0.0,3178.530531,3178.530531,0.0
03_JPN,2.E,Electronics Industry,0.0,0.0,0.0,3068.00873411,0.0,3068.00873411,3049.459437,-18.549297110000225
03_JPN,2.F,Product Uses as Substitutes for Ozone Depleting Substances,0.0,0.0,0.0,16061.94950549,0.0,16061.94950549,16060.72458,-1.224925489999805
03_JPN,2.G,Other Product Manufacture and Use,0.0,0.0,161.385530795,2396.5091205,0.0,2557.8946512949997,2557.894655,3.705000381160062e-06
03_JPN,3.A.1,Enteric Fermentation,0.0,20763.603868,0.0,0.0,0.0,20763.603868,20763.60387,2.0000006770715117e-06
03_JPN,3.A.2,Manure Management,0.0,4940.099178,1208.49230374,0.0,0.0,6148.591481740001,6148.591482,2.5999906938523054e-07
03_JPN,3.C.1,Emissions from biomass burning,0.0,30.353072036,7.447744439999999,0.0,608.2659279,37.800816476,37.80081658,1.0400000149957123e-07
