Region,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
09_WEU,2.B,Chemical Industry,HFC-143a,0.50797,0.52549,0.40487,0.023792999999999998,0.035447,0.02696,0.061225,0.0385625,0.0566666,0.050163,0.09649250000000001,0.0550746,0.04517785,0.040672849999999997,0.03845904,0.046722363,0.037415627,0.027461409,0.028808000000000004,0.037019663,0.028906626,0.022192787,0.024801937,0.016001531,0.013180612999999999,0.009492775,0.007669274,0.006262366,0.003514326,0.006664707,0.004438407,0.003369378,0.003321061,0.0022065130000000002,0.0016250820000000001
09_WEU,2.B,Chemical Industry,HFC-152a,0.0,0.0,0.009926,0.02879,0.024003,0.017864,0.025,0.0,0.0,0.0,0.021934,0.002041,0.006511,0.00393,0.00515,0.001947,0.001866,0.000175,0.000536,0.020276,0.00079,0.000115,0.003562,0.000317,0.000883,0.000147,9.2e-05,9.2e-05,1.3e-05,0.000412,0.000684,0.000881333,0.001170778,0.001423704,0.001694889
09_WEU,2.B,Chemical Industry,HFC-227ea,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.000905,0.001574,0.0044005,0.00613,0.00675,0.00694,0.00628,0.00433,0.007053649,0.0071414600000000005,0.008787978,0.004668406999999999,0.002033305,0.006642466,0.009726407,0.010374468,0.005802796,0.009607797,0.009738262,0.007669347,0.011449648,0.003446043,0.011534619,0.005342209,1.70614e-05,1.70614e-05,1.70614e-05,1.70614e-05
09_WEU,2.B,Chemical Industry,HFC-23,2.182350172,2.1446566789999997,2.288099905,2.392366865,2.595336824,2.767397108,2.853162293,3.0167141345,2.762134347,1.9004847595,1.416659387,0.8982670735,0.699023604,0.621485997,0.385177695,0.3300285411,0.14235342639999998,0.0992124342,0.1094769747,0.11335400799999999,0.09015562590000001,0.0263168059,0.0189221744,0.026219438100000002,0.0137805206,0.0197219633,0.027350448399999998,0.0267332677,0.025205469,0.026203219899999998,0.026203219899999998,0.0258741434,0.027414023500000002,0.0290434053,0.0306280353
09_WEU,2.B,Chemical Industry,HFC-32,0.0,0.0,0.0,0.0,0.0016,0.004479,0.00297,0.00591,0.00354,0.00318,0.004997000000000001,0.017018,0.0022419999999999996,0.017355000000000002,0.025187896,0.024476957,0.022695763,0.019122241,0.020825009999999998,0.01711767,0.029164901,0.023922864000000002,0.01683786,0.017091078,0.010884802,0.004438163,0.003653244,0.001784477,0.00457305,0.005393833,0.001676779,0.003152008,0.003656341,0.003077178,0.003039763
09_WEU,2.B,Chemical Industry,HFC-365mfc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006435131,0.00768036,0.007107243,0.007165124,0.007295926,0.009523441,0.009289167,0.007377382,0.007349039,0.004342866,0.006694101,0.006784355,0.006637657,0.005328109,0.005489924,0.005362992,0.006571,0.005072,0.0045507,0.0040755,0.0038479,0.00430398,0.00422174,0.004270487,0.00425374
09_WEU,2.B,Chemical Industry,SF6,0.01,0.0104,0.0109,0.01127,0.0116,0.012,0.01,0.01,0.011,0.008,0.009,0.01,0.01,0.01,0.01,0.01,0.009,0.0047,0.0042,0.00299268,0.0037845,0.0042567,0.00472986,0.00442755,5.52802e-05,5.65487e-05,5.11855e-05,4.6054e-05,4.38848e-05,4.64771e-05,3.91306e-05,4.06221e-05,3.95345e-05,3.72203e-05,3.55194e-05
09_WEU,2.B,Chemical Industry,c-C4F8,0.00844,0.01639,0.00722,0.00574,0.00937,0.01022,0.00766,0.01175,0.01064,0.01068,0.01403,0.01437,0.00892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09_WEU,2.C,Metal Industry,C2F6,0.476384008,0.44278656,0.327944427,0.321034853,0.30887949000000003,0.314966841,0.321251538,0.324513653,0.302938752,0.29190051300000003,0.307734013,0.194935155,0.242135848,0.182019841,0.26079404700000003,0.21146579699999998,0.212484415,0.191281867,0.10274817700000001,0.064599504,0.08013429,0.070667032,0.059818168000000005,0.046221174000000004,0.05775312,0.046602274,0.052108342,0.052386984,0.051503885,0.049273171,0.044591093,0.043790281,0.04304082,0.040963371,0.039549916
09_WEU,2.C,Metal Industry,CF4,2.59271768,2.46085627,1.9917756340000001,1.96437386,1.8894462,1.71105438,1.7448768700000001,1.77446105,1.62310906,1.5474965999999999,1.62526866,1.12296313,1.28208751,1.0252966000000001,1.23754267,0.932969469,0.750509152,0.96998424,0.672767904,0.377355758,0.38691999,0.36561108,0.305636633,0.263700154,0.255152369,0.295405639,0.316721603,0.31855347500000003,0.315998822,0.30980361900000003,0.287439872,0.285800964,0.28456481499999997,0.276151879,0.271327336
